GTIN,STORE_ID,year,week,DAY_OF_PREDICTION,FIRST_DATE_Future,LAST_DATE_Future,TOTAL_QUANTITY,TOTAL_QUANTITY_WEEK_DAY_OF_PREDICTION,DIFF_1WEEK_TOTAL_QUANTITY
00012000001291,18191,2023,1,2023-01-01,2023-01-02,2023-01-07,21,,
00012000001291,18191,2023,2,2023-01-08,2023-01-09,2023-01-14,15,21.0,-6.0
00012000001291,18191,2023,3,2023-01-15,2023-01-16,2023-01-22,36,15.0,21.0
00012000001291,18191,2023,4,2023-01-22,2023-01-23,2023-01-27,26,36.0,-10.0
00012000001291,18191,2023,5,2023-01-30,2023-01-31,2023-02-05,13,26.0,-13.0
00012000001291,18191,2023,6,2023-02-05,2023-02-06,2023-02-12,19,13.0,6.0
00012000001291,18191,2023,7,2023-02-12,2023-02-13,2023-02-18,14,19.0,-5.0
00012000001291,18191,2023,8,2023-02-19,2023-02-20,2023-02-25,22,14.0,8.0
00012000001291,18191,2023,9,2023-02-26,2023-02-27,2023-03-05,9,22.0,-13.0
00012000001291,18191,2023,10,2023-03-05,2023-03-06,2023-03-12,27,9.0,18.0
00012000001291,18191,2023,11,2023-03-12,2023-03-13,2023-03-19,14,27.0,-13.0
00012000001291,18191,2023,12,2023-03-19,2023-03-20,2023-03-26,23,14.0,9.0
00012000001291,18191,2023,13,2023-03-26,2023-03-27,2023-04-02,18,23.0,-5.0
00012000001291,18191,2023,14,2023-04-02,2023-04-03,2023-04-09,19,18.0,1.0
00012000001291,18191,2023,15,2023-04-09,2023-04-10,2023-04-15,18,19.0,-1.0
00012000001291,18191,2023,16,2023-04-16,2023-04-17,2023-04-23,17,18.0,-1.0
00012000001291,18191,2023,17,2023-04-23,2023-04-24,2023-04-30,22,17.0,5.0
00012000001291,18191,2023,18,2023-04-30,2023-05-01,2023-05-07,28,22.0,6.0
00012000001291,18191,2023,19,2023-05-07,2023-05-08,2023-05-14,22,28.0,-6.0
00012000001291,18191,2023,20,2023-05-14,2023-05-15,2023-05-21,37,22.0,15.0
00012000001291,18191,2023,21,2023-05-21,2023-05-22,2023-05-27,20,37.0,-17.0
00012000001291,18191,2023,22,2023-05-28,2023-05-29,2023-06-04,27,20.0,7.0
00012000001291,18191,2023,23,2023-06-04,2023-06-05,2023-06-11,35,27.0,8.0
00012000001291,18191,2023,24,2023-06-11,2023-06-12,2023-06-17,23,35.0,-12.0
00012000001291,18191,2023,25,2023-06-18,2023-06-19,2023-06-25,35,23.0,12.0
00012000001291,18191,2023,26,2023-06-25,2023-06-26,2023-07-02,42,35.0,7.0
00012000001291,18191,2023,27,2023-07-02,2023-07-03,2023-07-09,40,42.0,-2.0
00012000001291,18191,2023,28,2023-07-09,2023-07-10,2023-07-16,25,40.0,-15.0
00012000001291,18191,2023,29,2023-07-16,2023-07-17,2023-07-23,29,25.0,4.0
00012000001291,18191,2023,30,2023-07-23,2023-07-24,2023-07-30,33,29.0,4.0
00012000001291,18191,2023,31,2023-07-30,2023-07-31,2023-08-06,20,33.0,-13.0
00012000001291,18191,2023,32,2023-08-06,2023-08-07,2023-08-08,4,20.0,-16.0
00012000001314,18191,2023,1,2023-01-01,2023-01-02,2023-01-08,53,,
00012000001314,18191,2023,2,2023-01-08,2023-01-09,2023-01-15,24,53.0,-29.0
00012000001314,18191,2023,3,2023-01-15,2023-01-16,2023-01-22,34,24.0,10.0
00012000001314,18191,2023,4,2023-01-22,2023-01-23,2023-01-29,23,34.0,-11.0
00012000001314,18191,2023,5,2023-01-29,2023-01-30,2023-02-05,43,23.0,20.0
00012000001314,18191,2023,6,2023-02-05,2023-02-06,2023-02-12,40,43.0,-3.0
00012000001314,18191,2023,7,2023-02-12,2023-02-13,2023-02-19,44,40.0,4.0
00012000001314,18191,2023,8,2023-02-19,2023-02-20,2023-02-26,48,44.0,4.0
00012000001314,18191,2023,9,2023-02-26,2023-02-27,2023-03-05,48,48.0,0.0
00012000001314,18191,2023,10,2023-03-05,2023-03-06,2023-03-12,54,48.0,6.0
00012000001314,18191,2023,11,2023-03-12,2023-03-13,2023-03-19,43,54.0,-11.0
00012000001314,18191,2023,12,2023-03-19,2023-03-20,2023-03-26,49,43.0,6.0
00012000001314,18191,2023,13,2023-03-26,2023-03-27,2023-04-02,61,49.0,12.0
00012000001314,18191,2023,14,2023-04-02,2023-04-03,2023-04-09,57,61.0,-4.0
00012000001314,18191,2023,15,2023-04-09,2023-04-10,2023-04-16,34,57.0,-23.0
00012000001314,18191,2023,16,2023-04-16,2023-04-17,2023-04-23,44,34.0,10.0
00012000001314,18191,2023,17,2023-04-23,2023-04-24,2023-04-30,56,44.0,12.0
00012000001314,18191,2023,18,2023-04-30,2023-05-01,2023-05-07,47,56.0,-9.0
00012000001314,18191,2023,19,2023-05-07,2023-05-08,2023-05-14,58,47.0,11.0
00012000001314,18191,2023,20,2023-05-14,2023-05-15,2023-05-21,62,58.0,4.0
00012000001314,18191,2023,21,2023-05-21,2023-05-22,2023-05-28,42,62.0,-20.0
00012000001314,18191,2023,22,2023-05-28,2023-05-29,2023-06-04,48,42.0,6.0
00012000001314,18191,2023,23,2023-06-04,2023-06-05,2023-06-11,51,48.0,3.0
00012000001314,18191,2023,24,2023-06-11,2023-06-12,2023-06-18,53,51.0,2.0
00012000001314,18191,2023,25,2023-06-18,2023-06-19,2023-06-25,48,53.0,-5.0
00012000001314,18191,2023,26,2023-06-25,2023-06-26,2023-07-02,64,48.0,16.0
00012000001314,18191,2023,27,2023-07-02,2023-07-03,2023-07-09,72,64.0,8.0
00012000001314,18191,2023,28,2023-07-09,2023-07-10,2023-07-16,48,72.0,-24.0
00012000001314,18191,2023,29,2023-07-16,2023-07-17,2023-07-23,61,48.0,13.0
00012000001314,18191,2023,30,2023-07-23,2023-07-24,2023-07-30,31,61.0,-30.0
00012000001314,18191,2023,31,2023-07-30,2023-07-31,2023-08-06,52,31.0,21.0
00012000001314,18191,2023,32,2023-08-06,2023-08-07,2023-08-09,17,52.0,-35.0
00012000001345,18191,2023,1,2023-01-01,2023-01-02,2023-01-08,17,,
00012000001345,18191,2023,2,2023-01-08,2023-01-09,2023-01-12,10,17.0,-7.0
00012000001345,18191,2023,3,2023-01-16,2023-01-17,2023-01-22,6,10.0,-4.0
00012000001345,18191,2023,4,2023-01-23,2023-01-24,2023-01-29,15,6.0,9.0
00012000001345,18191,2023,5,2023-01-29,2023-01-30,2023-02-04,12,15.0,-3.0
00012000001345,18191,2023,6,2023-02-05,2023-02-06,2023-02-12,10,12.0,-2.0
00012000001345,18191,2023,7,2023-02-13,2023-02-14,2023-02-17,12,10.0,2.0
00012000001345,18191,2023,8,2023-02-19,2023-02-20,2023-02-24,9,12.0,-3.0
00012000001345,18191,2023,9,2023-02-26,2023-02-27,2023-03-03,19,9.0,10.0
00012000001345,18191,2023,10,2023-03-06,2023-03-07,2023-03-12,19,19.0,0.0
00012000001345,18191,2023,11,2023-03-12,2023-03-13,2023-03-19,9,19.0,-10.0
00012000001345,18191,2023,12,2023-03-19,2023-03-20,2023-03-26,16,9.0,7.0
00012000001345,18191,2023,13,2023-03-27,2023-03-28,2023-04-01,10,16.0,-6.0
00012000001345,18191,2023,14,2023-04-02,2023-04-03,2023-04-09,15,10.0,5.0
00012000001345,18191,2023,15,2023-04-09,2023-04-10,2023-04-14,7,15.0,-8.0
00012000001345,18191,2023,16,2023-04-16,2023-04-17,2023-04-22,14,7.0,7.0
